Rank,Mark,Competitor,Date of birth,Nationality,Position in the competition,dummy,Place of the competition,Date,Result score,athlete_href
843,1:48.21,Bram SOM,20 FEB 1980,NED,4,,"Luzhniki Stadion, Moskva (RUS)",11 JUN 2013,1078,/athletes/athlete=14214387
843,1:48.21,Joni JAAKO,24 FEB 1986,SWE,6f2,,Heusden-Zolder (BEL),13 JUL 2013,1078,/athletes/athlete=14227644
848,1:48.22,Harry MCFANN,,USA,3f1,,"Fairfax, VA (USA)",13 APR 2013,1077,/athletes/athlete=14456576
848,1:48.22,Hamid OUALICH,26 APR 1988,FRA,1,,Villeneuve d'Ascq (FRA),19 MAY 2013,1077,/athletes/athlete=14186873
848,1:48.22,Elijah GREER,24 OCT 1990,USA,1h4,,"Austin, TX (USA)",23 MAY 2013,1077,/athletes/athlete=14239332
851,1:48.23,Amel TUKA,09 JAN 1991,BIH,5f3,,Velenje (SLO),04 JUN 2013,1077,/athletes/athlete=14381641
851,1:48.23,Andreas DIMITRAKIS,08 SEP 1990,GRE,2f2,,Thiva (GRE),24 JUL 2013,1077,/athletes/athlete=14365488
851,1:48.23,Mukhtar MOHAMMED,01 DEC 1990,GBR,4,,Amsterdam (NED),31 AUG 2013,1077,/athletes/athlete=14422615
854,1:48.24,Russell DINKINS,27 JUN 1989,USA,1,,"Princeton, NJ (USA)",05 MAY 2013,1077,/athletes/athlete=14236511
854,1:48.24,Kevin STADLER,03 APR 1993,GER,3f1,,Pfungstadt (GER),05 JUN 2013,1077,/athletes/athlete=14390277
854,1:48.24,Travis BURKSTRAND,22 JUL 1989,USA,8,,"Eugene, OR (USA)",07 JUN 2013,1077,/athletes/athlete=14360577
854,1:48.24,Jordan WILLIAMSZ,21 AUG 1992,AUS,4f3,,Vancouver (CAN),29 JUN 2013,1077,/athletes/athlete=14336237
854,1:48.24,Alfred Kirwa YEGO,28 NOV 1986,KEN,10,,Rovereto (ITA),03 SEP 2013,1077,/athletes/athlete=14209993
859,1:48.25,Mark HUSTED,04 JUN 1987,USA,7f1,,"Palo Alto, CA (USA)",28 APR 2013,1076,/athletes/athlete=14241441
859,1:48.25,Oleh KAYAFA,04 APR 1989,UKR,3f6,,Yalta (UKR),06 JUN 2013,1076,/athletes/athlete=14230055
859,1:48.25,Joe THOMAS,29 JAN 1988,GBR,4f1,,Bilbao (ESP),21 JUN 2013,1076,/athletes/athlete=14190986
859,1:48.25,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,1,,Tønsberg (NOR),25 AUG 2013,1076,/athletes/athlete=14215338
863,1:48.26,Khaled BENMAHDI,22 OCT 1988,ALG,2f1,,Besancon (FRA),15 JUN 2013,1076,/athletes/athlete=14428436
863,1:48.26,Johan ROGESTEDT,27 JAN 1993,SWE,5f1,,Sollentuna (SWE),27 JUN 2013,1076,/athletes/athlete=14362686
863,1:48.26,Azzine BOUDJEMA,17 SEP 1982,ALG,4,,Paris (FRA),14 JUL 2013,1076,/athletes/athlete=14180818
866,1:48.27,Ahmed ELYEMNI,,MAR,7f1,,Fes (MAR),11 MAY 2013,1076,/athletes/athlete=14580135
866,1:48.27,Fernando Lina DA SILVA,10 OCT 1986,BRA,1h2,,São Paulo (BRA),08 JUN 2013,1076,/athletes/athlete=14176086
866,1:48.27,Alejandro RODRÍGUEZ,01 MAY 1989,ESP,1f2,,Huelva (ESP),12 JUN 2013,1076,/athletes/athlete=14360586
866,1:48.27,Yusuf Saad KAMEL,29 MAR 1983,BRN,4,,Palembang (INA),26 SEP 2013,1076,/athletes/athlete=14175129
870,1:48.28,Lutimar PAES,14 DEC 1988,BRA,3f1,,São Paulo (BRA),07 APR 2013,1076,/athletes/athlete=14176297
870,1:48.28,O'Neal WANLISS,28 NOV 1992,USA,1f1,,"Atlanta, GA (USA)",11 MAY 2013,1076,/athletes/athlete=14371108
870,1:48.28,Tetlo EMMEN,24 JAN 1984,USA,5f2,,"Los Angeles, CA (USA)",17 MAY 2013,1076,/athletes/athlete=14237271
870,1:48.28,Joseph MAYNARD,25 JUL 1985,GBR,3f1,,Manchester (GBR),01 JUN 2013,1076,/athletes/great-britain-ni/joseph-maynard-014190041
870,1:48.28,Thomas Arne ROTH,11 FEB 1991,NOR,8f1,,Karlstad (SWE),23 JUL 2013,1076,/athletes/athlete=14364669
870,1:48.28,Kléberson DAVIDE,20 JUL 1985,BRA,5h1,,"Luzhniki Stadion, Moskva (RUS)",10 AUG 2013,1076,/athletes/athlete=14175980
876,1:48.29,Konstantin TOLOKONNIKOV,26 FEB 1996,RUS,2,,Donetsk (UKR),13 JUL 2013,1075,/athletes/athlete=14527117
877,1:48.30,Thapelo MADIBA,08 SEP 1993,RSA,1,,Potchefstroom (RSA),16 MAR 2013,1075,/athletes/athlete=14436440
877,1:48.30,Johan ROGESTEDT,27 JAN 1993,SWE,7,,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013,1075,/athletes/athlete=14362686
877,1:48.30,Sofiane SELMOUNI,22 SEP 1989,FRA,1f2,,Oordegem (BEL),01 JUN 2013,1075,/athletes/athlete=14376584
877,1:48.30,Richard CHARLES,31 MAY 1994,GBR,4f1,,Manchester (GBR),01 JUN 2013,1075,/athletes/athlete=14428089
877,1:48.30,Sebastian SMOLIŃSKI,01 JUL 1991,POL,9,,Szczecin (POL),15 JUN 2013,1075,/athletes/athlete=14424289
877,1:48.30,Carl SOUDRIL,10 DEC 1990,FRA,1f1,,Castres (FRA),30 JUN 2013,1075,/athletes/athlete=14371917
883,1:48.31,Shiferaw WOLA,23 FEB 1989,ETH,5f1,,Montbéliard (FRA),06 JUN 2013,1075,/athletes/athlete=14327847
883,1:48.31,Nicholas GUARINO,24 MAY 1989,USA,4f4,,"New York, NY (USA)",11 JUN 2013,1075,/athletes/athlete=14405248
883,1:48.31,Mukhtar MOHAMMED,01 DEC 1990,GBR,6,,Dakar (SEN),12 JUN 2013,1075,/athletes/athlete=14422615
883,1:48.31,Yevgeniy SHARMIN,20 MAR 1986,RUS,2f1,,Moskva (RUS),04 JUL 2013,1075,/athletes/athlete=14223911
883,1:48.31,Ahmed MAINY,20 AUG 1986,MAR,6f8,,Kortrijk (BEL),14 JUL 2013,1075,/athletes/athlete=14375242
883,1:48.31,Amine KHADIRI,20 NOV 1988,CYP,3f2,,Thiva (GRE),24 JUL 2013,1075,/athletes/athlete=14384820
883,1:48.31,Giordano BENEDETTI,22 MAY 1989,ITA,7sf2,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1075,/athletes/athlete=14199598
883,1:48.31,Erik SOWINSKI,21 DEC 1989,USA,5,,Amsterdam (NED),31 AUG 2013,1075,/athletes/athlete=14360557
891,1:48.32,Jamaal JAMES,04 SEP 1988,TTO,6f2,,"Los Angeles, CA (USA)",17 MAY 2013,1074,/athletes/athlete=14229022
891,1:48.32,Aleksandr YATSENKO,04 MAR 1989,RUS,3f1,,Moskva (RUS),04 JUL 2013,1074,/athletes/athlete=14941123
891,1:48.32,Kyle LANGFORD,02 FEB 1996,GBR,3,,Donetsk (UKR),13 JUL 2013,1074,/athletes/athlete=14515224
891,1:48.32,Gareth WARBURTON,23 APR 1983,GBR,1,,Cardiff (GBR),31 JUL 2013,1074,/athletes/athlete=14191138
895,1:48.33,Declan MURRAY,04 JUN 1991,USA,2f2,,"Austin, TX (USA)",24 MAY 2013,1074,/athletes/athlete=14415018
895,1:48.33,Jakub HOLUŠA,20 FEB 1988,CZE,10,,"Blankers-Koen Stadion, Hengelo (NED)",08 JUN 2013,1074,/athletes/athlete=14168850
895,1:48.33,Szymon KRAWCZYK,29 DEC 1988,POL,1,,Bydgoszcz (POL),08 JUN 2013,1074,/athletes/athlete=14329650
895,1:48.33,David TORRENCE,26 NOV 1985,USA,1f3,,Oordegem (BEL),06 JUL 2013,1074,/athletes/athlete=14253359
899,1:48.34,Brandon LASATER,09 OCT 1992,USA,4f1,,"Gainesville, FL (USA)",05 APR 2013,1074,/athletes/athlete=14514816
899,1:48.34,Pierre BALHAN,21 OCT 1992,BEL,1f1,,Bruxelles (BEL),05 MAY 2013,1074,/athletes/athlete=14375469
,,,,,,,,,,
899,1:48.34,Lukas RIFESSER,17 JUL 1986,ITA,7,,Lignano Sabbiadoro (ITA),16 JUL 2013,1074,/athletes/athlete=14201293
899,1:48.34,Konstantinos NAKOPOULOS,28 JUN 1987,GRE,1,,Athina (GRE),21 JUL 2013,1074,/athletes/athlete=14195358
903,1:48.35,Ryan THOMAS,13 APR 1993,USA,2,,"Eugene, OR (USA)",20 APR 2013,1074,/athletes/athlete=14491427
903,1:48.35,Robby ANDREWS,29 MAR 1991,USA,2,,"West Chester, PA (USA)",03 MAY 2013,1074,/athletes/athlete=14231426
903,1:48.35,Sofiane SELMOUNI,22 SEP 1989,FRA,3f1,,Besancon (FRA),15 JUN 2013,1074,/athletes/athlete=14376584
903,1:48.35,Rynhardt VAN RENSBURG,23 MAR 1992,RSA,3sf3,,"Central Stadium, Kazan (RUS)",11 JUL 2013,1074,/athletes/athlete=14409809
907,1:48.36,Patrick RONO,08 APR 1992,KEN,2h4,,"Austin, TX (USA)",23 MAY 2013,1073,/athletes/athlete=14229658
908,1:48.37,Paul GOODALL,15 OCT 1986,GBR,5f1,,Bilbao (ESP),21 JUN 2013,1073,/athletes/athlete=14371622
908,1:48.37,Jan VAN DEN BROECK,11 MAR 1989,BEL,3f1,,København (DEN),01 AUG 2013,1073,/athletes/athlete=14177251
910,1:48.38,Oleksandr OSMOLOVYCH,08 OCT 1985,UKR,2,,Riga (LAT),30 MAY 2013,1073,/athletes/athlete=14230368
910,1:48.38,Anthony ROMANIW,15 SEP 1991,CAN,2,,Moncton (CAN),23 JUN 2013,1073,/athletes/athlete=14362665
910,1:48.38,Rabii DOUKKANA,06 DEC 1987,FRA,2f1,,Castres (FRA),30 JUN 2013,1073,/athletes/athlete=14211998
910,1:48.38,Alfred KIPKETER,28 DEC 1996,KEN,1sf1,,Donetsk (UKR),11 JUL 2013,1073,/athletes/athlete=14590702
910,1:48.38,Danil STRELNIKOV,03 MAY 1992,RUS,4,,Moskva (RUS),25 JUL 2013,1073,/athletes/athlete=14442476
915,1:48.39,Lucirio GARRIDO,08 APR 1992,VEN,1f1,,Barinas (VEN),10 MAY 2013,1072,/athletes/athlete=14256103
915,1:48.39,Diego Chargal MARTINS DINIZ,19 APR 1985,BRA,4,,São Paulo (BRA),19 MAY 2013,1072,/athletes/athlete=14175484
915,1:48.39,Yassine HETHAT,30 AUG 1991,ALG,2,,Algiers (ALG),18 JUN 2013,1072,/athletes/athlete=14483503
915,1:48.39,Thijmen KUPERS,04 OCT 1991,NED,3h2,,Tampere (FIN),11 JUL 2013,1072,/athletes/athlete=14372333
915,1:48.39,Jerome KAHIA,30 JUL 1989,BEL,12f1,,Heusden-Zolder (BEL),13 JUL 2013,1072,/athletes/athlete=14177482
920,1:48.40,Hamada MOHAMED,22 OCT 1992,EGY,1h1,,Doha (QAT),23 MAY 2013,1072,/athletes/athlete=14420664
920,1:48.40,Kevin LÓPEZ,12 JUN 1990,ESP,2f1,,Carmona (ESP),01 JUN 2013,1072,/athletes/athlete=14165935
920,1:48.40,Charles JOCK,23 NOV 1989,USA,2h2,,"Drake Stadium, Des Moines, IA (USA)",20 JUN 2013,1072,/athletes/athlete=14329054
920,1:48.40,Andreas LANGE,29 JAN 1991,GER,6,,"International Stadium, Gateshead (GBR)",23 JUN 2013,1072,/athletes/athlete=14940921
920,1:48.40,Paul RENAUDIE,02 APR 1990,FRA,2h1,,Mersin (TUR),28 JUN 2013,1072,/athletes/athlete=14334302
920,1:48.40,Benjamin HERRIAU,17 FEB 1992,FRA,4,,La Roche-sur-Yon (FRA),24 JUL 2013,1072,/athletes/athlete=14330040
926,1:48.41,Jakub HOLUŠA,20 FEB 1988,CZE,7f1,,Bottrop (GER),19 JUL 2013,1072,/athletes/athlete=14168850
927,1:48.42,Sadiki WHITE,06 FEB 1991,JAM,1f2,,"Fairfax, VA (USA)",13 APR 2013,1071,/athletes/athlete=14362531
927,1:48.42,Hector HERNANDEZ,24 SEP 1994,USA,3f3,,"Austin, TX (USA)",24 MAY 2013,1071,/athletes/athlete=14479269
927,1:48.42,Lance ROLLER,24 MAY 1990,USA,2,,Guelph (CAN),28 MAY 2013,1071,/athletes/athlete=14249958
927,1:48.42,Brice LEROY,26 JUN 1989,FRA,7f1,,Oordegem (BEL),01 JUN 2013,1071,/athletes/athlete=14186028
927,1:48.42,Luis Alberto MARCO,20 AUG 1986,ESP,3f1,,Carmona (ESP),01 JUN 2013,1071,/athletes/athlete=14165888
927,1:48.42,Ali BEN EL HADJ,18 JAN 1990,TUN,6f1,,Montbéliard (FRA),06 JUN 2013,1071,/athletes/tunisia/ali-ben-el-hadj-014379261
927,1:48.42,Geoff HARRIS,30 JAN 1987,CAN,2,,Toronto (CAN),11 JUN 2013,1071,/athletes/athlete=14174162
927,1:48.42,Luis Alberto MARCO,20 AUG 1986,ESP,2,,Alcobendas (ESP),28 JUL 2013,1071,/athletes/athlete=14165888
927,1:48.42,Péter SZEMETI,04 JAN 1988,HUN,1f4,,Veszprém (HUN),07 AUG 2013,1071,/athletes/athlete=14197429
936,1:48.43,James GILREATH,07 AUG 1989,USA,f2,,"Houston, TX (USA)",16 MAR 2013,1071,/athletes/athlete=14238825
936,1:48.43,Will WEINLANDT,06 NOV 1992,USA,2f2,,"Fairfax, VA (USA)",13 APR 2013,1071,/athletes/united-states/will-weinlandt-014453524
936,1:48.43,Florent MAILLARD,21 AUG 1990,FRA,2f2,,Oordegem (BEL),01 JUN 2013,1071,/athletes/athlete=14379180
936,1:48.43,Krzysztof ŻEBROWSKI,09 JUL 1990,POL,1f2,,Gdansk (POL),01 JUN 2013,1071,/athletes/athlete=14336142
936,1:48.43,Sho KAWAMOTO,01 MAR 1993,JPN,1h1,,Tokyo (JPN),08 JUN 2013,1071,/athletes/athlete=14388853
936,1:48.43,Russell DINKINS,27 JUN 1989,USA,5f4,,"New York, NY (USA)",11 JUN 2013,1071,/athletes/athlete=14236511
936,1:48.43,Lucas MANRING,,USA,5f2,,"Indianapolis, IN (USA)",15 JUN 2013,1071,/athletes/united-states/lucas-manring-014365338
943,1:48.44,Brandon JOHNSON,02 MAR 1985,USA,1f1,,"Fullerton, CA (USA)",09 MAR 2013,1071,/athletes/athlete=14242034
943,1:48.44,Paul RENAUDIE,02 APR 1990,FRA,3f2,,Montgeron (FRA),12 MAY 2013,1071,/athletes/athlete=14334302
943,1:48.44,Oleksandr OSMOLOVYCH,08 OCT 1985,UKR,4f6,,Yalta (UKR),06 JUN 2013,1071,/athletes/athlete=14230368
943,1:48.44,Craig HUFFER,27 OCT 1989,AUS,3f3,,"Indianapolis, IN (USA)",08 JUN 2013,1071,/athletes/athlete=14179483
943,1:48.44,Erik SOWINSKI,21 DEC 1989,USA,3h2,,"Drake Stadium, Des Moines, IA (USA)",20 JUN 2013,1071,/athletes/athlete=14360557
948,1:48.45,Radouane BAAZIRI,23 JUL 1993,MAR,1,,Rabat (MAR),01 JUN 2013,1071,/athletes/athlete=14482346
948,1:48.45,Luis Alberto MARCO,20 AUG 1986,ESP,3,,Algiers (ALG),18 JUN 2013,1071,/athletes/athlete=14165888
948,1:48.45,Jake WIGHTMAN,11 JUL 1994,GBR,1f1,,Watford (GBR),30 JUN 2013,1071,/athletes/athlete=14522654
948,1:48.45,Marcin LEWANDOWSKI,13 JUN 1987,POL,1,,Biala Podlaska (POL),31 AUG 2013,1071,/athletes/athlete=14217081
948,1:48.45,Abdessalem AYOUNI,16 MAY 1994,TUN,2h3,,Nice (FRA),10 SEP 2013,1071,/athletes/athlete=14426375
953,1:48.46,Liam BOYLAN-PETT,11 SEP 1985,USA,4f1,,"Fairfax, VA (USA)",13 APR 2013,1070,/athletes/athlete=14233121
953,1:48.46,Travis BURKSTRAND,22 JUL 1989,USA,2f1,,"Austin, TX (USA)",24 MAY 2013,1070,/athletes/athlete=14360577
953,1:48.46,Ruslan NIGAMYATYANOV,16 APR 1993,RUS,2,,Sochi (RUS),26 MAY 2013,1070,/athletes/athlete=14513770
953,1:48.46,Daniel DEY,05 AUG 1993,USA,6f2,,"Indianapolis, IN (USA)",15 JUN 2013,1070,/athletes/athlete=14439736
953,1:48.46,Jerome KAHIA,30 JUL 1989,BEL,3f1,,Nivelles (BEL),29 JUN 2013,1070,/athletes/athlete=14177482
958,1:48.47,Austin MUDD,13 MAY 1993,USA,2h1,,"Columbus, OH (USA)",11 MAY 2013,1070,/athletes/athlete=14425477
958,1:48.47,Fouad EL KAAM,27 MAY 1988,MAR,3f1,,Liège (BEL),10 JUL 2013,1070,/athletes/athlete=14212107
960,1:48.48,Drew WINDLE,22 JUL 1992,USA,1,,"Knoxville, TN (USA)",13 APR 2013,1070,/athletes/athlete=14483584
960,1:48.48,Kyle THOMPSON,03 AUG 1992,USA,1f1,,"Austin, TX (USA)",13 APR 2013,1070,/athletes/athlete=14443197
960,1:48.48,Manjit SINGH,01 SEP 1989,IND,1,,Patiala (IND),24 APR 2013,1070,/athletes/athlete=14430052
960,1:48.48,Artur KUCIAPSKI,26 DEC 1993,POL,2,,Bydgoszcz (POL),08 JUN 2013,1070,/athletes/athlete=14403520
960,1:48.48,Lukas RIFESSER,17 JUL 1986,ITA,5,,Salzburg (AUT),15 JUN 2013,1070,/athletes/athlete=14201293
960,1:48.48,Mohamed Amine BELFERAR,16 FEB 1991,ALG,4,,Algiers (ALG),18 JUN 2013,1070,/athletes/athlete=14557545
966,1:48.49,Alexander ROWE,08 JUL 1992,AUS,1,,Sydney (AUS),09 MAR 2013,1069,/athletes/athlete=14334659
966,1:48.49,Richard WEST,11 SEP 1990,JAM,7,,"Walnut, CA (USA)",20 APR 2013,1069,/athletes/athlete=14254626
966,1:48.49,Brandon LASATER,09 OCT 1992,USA,4f2,,"Greensboro, NC (USA)",24 MAY 2013,1069,/athletes/athlete=14514816
966,1:48.49,José Alberto VERAS,22 JAN 1992,DOM,1f2,,Liège (BEL),10 JUL 2013,1069,/athletes/athlete=14463942
966,1:48.49,Ivan OBYEZCHIK,08 FEB 1989,KAZ,4sf1,,"Central Stadium, Kazan (RUS)",11 JUL 2013,1069,/athletes/athlete=14378285
966,1:48.49,Nader BELHANBEL,01 JUL 1994,MAR,3,,Réduit (MRI),01 SEP 2013,1069,/athletes/athlete=14479650
972,1:48.50,Casimir LOXSOM,17 MAR 1991,USA,1h3,,"Greensboro, NC (USA)",23 MAY 2013,1069,/athletes/athlete=14335806
972,1:48.50,Kyle SMITH,25 JAN 1985,CAN,5,,Victoria (CAN),05 JUL 2013,1069,/athletes/athlete=14173473
972,1:48.50,Lutimar PAES,14 DEC 1988,BRA,3,,Cartagena de Indias (COL),07 JUL 2013,1069,/athletes/athlete=14176297
972,1:48.50,Jozef PELIKÁN,29 JUL 1984,SVK,2f1,,Nové Město nad Metují (CZE),08 SEP 2013,1069,/athletes/athlete=14227119
976,1:48.51,Vladimir OBNOSOV,24 SEP 1987,RUS,5,,"Luzhniki Stadion, Moskva (RUS)",11 JUN 2013,1069,/athletes/athlete=14388782
977,1:48.52,Prince MUMBA,28 AUG 1984,ZAM,9,,"Walnut, CA (USA)",20 APR 2013,1069,/athletes/athlete=14256437
977,1:48.52,Drew WINDLE,22 JUL 1992,USA,1,,"Pueblo, CO (USA)",25 MAY 2013,1069,/athletes/athlete=14483584
977,1:48.52,Llorenç SALES,14 JUL 1988,ESP,1f1,,Stretford (GBR),25 JUN 2013,1069,/athletes/athlete=14360591
977,1:48.52,James SHANE,18 DEC 1989,GBR,1f1,,Sheffield (GBR),06 JUL 2013,1069,/athletes/athlete=14190734
981,1:48.53,Jacques PRETORIUS,01 DEC 1988,RSA,2,,Johannesburg (RSA),22 APR 2013,1068,/athletes/south-africa/jacques-pretorius-014220986
981,1:48.53,Sho KAWAMOTO,01 MAR 1993,JPN,5,,Tokyo (JPN),05 MAY 2013,1068,/athletes/athlete=14388853
981,1:48.53,Mitja KREVS,26 JUL 1989,SLO,6f3,,Velenje (SLO),04 JUN 2013,1068,/athletes/athlete=14371717
981,1:48.53,Mohamed Amine BELFERAR,16 FEB 1991,ALG,3h1,,Mersin (TUR),28 JUN 2013,1068,/athletes/athlete=14557545
981,1:48.53,Filip INGEBRIGTSEN,20 APR 1993,NOR,1f2,,Watford (GBR),30 JUN 2013,1068,/athletes/athlete=14458705
986,1:48.54,Szymon KRAWCZYK,29 DEC 1988,POL,10,,Szczecin (POL),15 JUN 2013,1068,/athletes/athlete=14329650
987,1:48.55,Ryan WAITE,10 AUG 1988,USA,3f2,,"Austin, TX (USA)",24 MAY 2013,1068,/athletes/athlete=14254020
987,1:48.55,Faraj Tarek CHEBLI,1991,LBA,3h2,,Palembang (INA),25 SEP 2013,1068,/athletes/athlete=14440688
989,1:48.56,Jan VAN DEN BROECK,11 MAR 1989,BEL,1f1,,Hulst (NED),20 MAY 2013,1067,/athletes/athlete=14177251
989,1:48.56,Belal Mansoor ALI,17 OCT 1988,BRN,3,,Pune (IND),07 JUL 2013,1067,/athletes/athlete=14175141
989,1:48.56,Sho KAWAMOTO,01 MAR 1993,JPN,4sf3,,"Central Stadium, Kazan (RUS)",11 JUL 2013,1067,/athletes/athlete=14388853
989,1:48.56,Mor SECK,24 SEP 1985,SEN,1f1,,Cernusco Sul Naviglio (ITA),18 JUL 2013,1067,/athletes/athlete=14329390
989,1:48.56,Thomas LARCHAUD,08 OCT 1986,FRA,7f2,,Ninove (BEL),27 JUL 2013,1067,/athletes/athlete=14330411
994,1:48.57,Jack BOLAS,01 NOV 1987,USA,4,,"Charlottesville, VA (USA)",11 MAY 2013,1067,/athletes/athlete=14232887
994,1:48.57,Robby ANDREWS,29 MAR 1991,USA,6,,"Icahn Stadium, New York, NY (USA)",25 MAY 2013,1067,/athletes/athlete=14231426
994,1:48.57,Salvador CRESPO,21 OCT 1983,ESP,1,,Ibiza (ESP),25 MAY 2013,1067,/athletes/athlete=14166803
994,1:48.57,Fikir BELETE,18 AUG 1995,ETH,2f1,,St-Etienne (FRA),22 JUN 2013,1067,/athletes/athlete=14477317
994,1:48.57,Abiyote ABINET,10 MAY 1989,ETH,3,,Addis Abeba (ETH),27 JUN 2013,1067,/athletes/athlete=14374479
994,1:48.57,Filip INGEBRIGTSEN,20 APR 1993,NOR,4h1,,Tampere (FIN),11 JUL 2013,1067,/athletes/athlete=14458705
1000,1:48.58,Florian CARVALHO DE FONSESCO,09 MAR 1989,FRA,4f2,,Montgeron (FRA),12 MAY 2013,1067,/athletes/athlete=14183723
,,,,,,,,,,
1,1:42.45,Nijel AMOS,15 MAR 1994,BOT,1,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1252,/athletes/athlete=14426466
2,1:42.53,Pierre-Ambroise BOSSE,11 MAY 1992,FRA,2,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1250,/athletes/athlete=14370625
3,1:42.83,Mohammed AMAN,10 JAN 1994,ETH,3,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1241,/athletes/athlete=14329603
4,1:42.84,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,4,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1240,/athletes/athlete=14590354
5,1:42.98,David RUDISHA,17 DEC 1988,KEN,5,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1236,/athletes/athlete=14209691
6,1:43.34,Asbel KIPROP,30 JUN 1989,KEN,1,,Paris (FRA),05 JUL 2014,1225,/athletes/athlete=14208403
6,1:43.34,David RUDISHA,17 DEC 1988,KEN,1,,"Hampden Park, Glasgow (GBR)",12 JUL 2014,1225,/athletes/athlete=14209691
8,1:43.52,Mohammed AMAN,10 JAN 1994,ETH,1,,"Olympiastadion, Berlin (GER)",31 AUG 2014,1219,/athletes/athlete=14329603
9,1:43.53,Taoufik MAKHLOUFI,29 APR 1988,ALG,2,,"Olympiastadion, Berlin (GER)",31 AUG 2014,1219,/athletes/athlete=14373573
10,1:43.63,Nijel AMOS,15 MAR 1994,BOT,1f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1216,/athletes/athlete=14426466
11,1:43.65,Timothy KITUM,20 NOV 1994,KEN,1f1,,Heusden-Zolder (BEL),19 JUL 2014,1215,/athletes/athlete=14425918
12,1:43.69,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1f1,,Huddinge (SWE),25 JUL 2014,1214,/athletes/athlete=14375782
13,1:43.70,Nijel AMOS,15 MAR 1994,BOT,2,,Paris (FRA),05 JUL 2014,1213,/athletes/athlete=14426466
14,1:43.71,Yeimer LÓPEZ,28 AUG 1982,CUB,3,,Paris (FRA),05 JUL 2014,1213,/athletes/athlete=14169468
15,1:43.77,Nijel AMOS,15 MAR 1994,BOT,1,,"Letzigrund, Zürich (SUI)",28 AUG 2014,1211,/athletes/athlete=14426466
16,1:43.83,Taoufik MAKHLOUFI,29 APR 1988,ALG,1f1,,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,1209,/athletes/athlete=14373573
17,1:43.88,Duane SOLOMON,28 DEC 1984,USA,1f1,,"Walnut, CA (USA)",19 APR 2014,1208,/athletes/athlete=14251836
18,1:43.93,Ayanleh SOULEIMAN,03 DEC 1992,DJI,2,,"Letzigrund, Zürich (SUI)",28 AUG 2014,1206,/athletes/athlete=14375782
19,1:43.95,Alfred KIPKETER,28 DEC 1996,KEN,1,,"Hayward Field, Eugene, OR (USA)",27 JUL 2014,1206,/athletes/athlete=14590702
20,1:43.96,David RUDISHA,17 DEC 1988,KEN,3,,"Letzigrund, Zürich (SUI)",28 AUG 2014,1205,/athletes/athlete=14209691
21,1:43.98,Yeimer LÓPEZ,28 AUG 1982,CUB,1f1,,Göteborg (SWE),14 JUN 2014,1205,/athletes/athlete=14169468
22,1:43.99,Mohammed AMAN,10 JAN 1994,ETH,2f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1204,/athletes/athlete=14329603
23,1:44.01,Yeimer LÓPEZ,28 AUG 1982,CUB,1f1,,Oslo (NOR),22 MAY 2014,1204,/athletes/athlete=14169468
24,1:44.02,Adam KSZCZOT,02 SEP 1989,POL,3,,"Olympiastadion, Berlin (GER)",31 AUG 2014,1204,/athletes/athlete=14217000
25,1:44.03,Marcin LEWANDOWSKI,13 JUN 1987,POL,4,,"Olympiastadion, Berlin (GER)",31 AUG 2014,1203,/athletes/athlete=14217081
25,1:44.03,Musaeb Abdulrahman BALLA,19 MAR 1989,QAT,2f1,,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,1203,/athletes/athlete=14411825
27,1:44.09,Abubaker KAKI,21 JUN 1989,SUD,3f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1201,/athletes/athlete=14225691
28,1:44.12,Musaeb Abdulrahman BALLA,19 MAR 1989,QAT,2f1,,Heusden-Zolder (BEL),19 JUL 2014,1200,/athletes/athlete=14411825
29,1:44.15,Adam KSZCZOT,02 SEP 1989,POL,1,,"Letzigrund, Zürich (SUI)",15 AUG 2014,1200,/athletes/athlete=14217000
30,1:44.23,Pierre-Ambroise BOSSE,11 MAY 1992,FRA,4,,Paris (FRA),05 JUL 2014,1197,/athletes/athlete=14370625
31,1:44.24,Mohammed AMAN,10 JAN 1994,ETH,1,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1197,/athletes/athlete=14329603
31,1:44.24,Marcin LEWANDOWSKI,13 JUN 1987,POL,6,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1197,/athletes/athlete=14217081
33,1:44.30,Duane SOLOMON,28 DEC 1984,USA,1,,"Sacramento, CA (USA)",29 JUN 2014,1195,/athletes/athlete=14251836
